0枚听牌形
总数：0

1枚听牌形
总数：0

2枚听牌形
总数：0

3枚听牌形
总数：0

4枚听牌形
1112         	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
3336         	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
3337         	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
3338         	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
3339         	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
3444         	待牌：235      	单骑待牌：3        	双碰待牌：0        	两面待牌：25       
3555         	待牌：34       	单骑待牌：3        	双碰待牌：0        	两面待牌：4        
3666         	待牌：3        	单骑待牌：3        	双碰待牌：0        	两面待牌：0        
3777         	待牌：3        	单骑待牌：3        	双碰待牌：0        	两面待牌：0        
3888         	待牌：3        	单骑待牌：3        	双碰待牌：0        	两面待牌：0        
3999         	待牌：3        	单骑待牌：3        	双碰待牌：0        	两面待牌：0        
4445         	待牌：356      	单骑待牌：5        	双碰待牌：0        	两面待牌：36       
4446         	待牌：56       	单骑待牌：6        	双碰待牌：0        	两面待牌：5        
4447         	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
4448         	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
4449         	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
4555         	待牌：346      	单骑待牌：4        	双碰待牌：0        	两面待牌：36       
4666         	待牌：45       	单骑待牌：4        	双碰待牌：0        	两面待牌：5        
4777         	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
4888         	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
4999         	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
5556         	待牌：467      	单骑待牌：6        	双碰待牌：0        	两面待牌：47       
5557         	待牌：67       	单骑待牌：7        	双碰待牌：0        	两面待牌：6        
5558         	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
5559         	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
5666         	待牌：457      	单骑待牌：5        	双碰待牌：0        	两面待牌：47       
5777         	待牌：56       	单骑待牌：5        	双碰待牌：0        	两面待牌：6        
5888         	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
5999         	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
6667         	待牌：578      	单骑待牌：7        	双碰待牌：0        	两面待牌：58       
6668         	待牌：78       	单骑待牌：8        	双碰待牌：0        	两面待牌：7        
6669         	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
6777         	待牌：568      	单骑待牌：6        	双碰待牌：0        	两面待牌：58       
6888         	待牌：67       	单骑待牌：6        	双碰待牌：0        	两面待牌：7        
6999         	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
7778         	待牌：689      	单骑待牌：8        	双碰待牌：0        	两面待牌：69       
7779         	待牌：89       	单骑待牌：9        	双碰待牌：0        	两面待牌：8        
7888         	待牌：679      	单骑待牌：7        	双碰待牌：0        	两面待牌：69       
7999         	待牌：78       	单骑待牌：7        	双碰待牌：0        	两面待牌：8        
8889         	待牌：79       	单骑待牌：9        	双碰待牌：0        	两面待牌：7        
8999         	待牌：78       	单骑待牌：8        	双碰待牌：0        	两面待牌：7        
总数：72

5枚听牌形
11112        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
11113        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
11124        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
11134        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
11135        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
11145        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
11146        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
11156        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
11157        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
11167        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
11168        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
11178        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
11179        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
11189        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
12222        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
12444        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
12555        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
12666        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
12777        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
12888        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
12999        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
13333        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
13444        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
13555        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
13666        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
13777        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
13888        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
13999        	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
22223        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
22224        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
22235        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
22245        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
22246        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
22256        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
22257        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
22267        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
22268        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
22278        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
22279        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
22289        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
23333        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
23555        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
23666        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
23777        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
23888        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
23999        	待牌：14       	单骑待牌：0        	双碰待牌：0        	两面待牌：14       
24444        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
24555        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
24666        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
24777        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
24888        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
24999        	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
33334        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
33335        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
33346        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
33356        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
33357        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
33367        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
33368        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
33378        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
33379        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
33389        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
34444        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
34666        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
34777        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
34888        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
34999        	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
35555        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
35666        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
35777        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
35888        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
35999        	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
44445        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
44446        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
44457        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
44467        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
44468        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
44478        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
44479        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
44489        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
45555        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
45777        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
45888        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
45999        	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
46666        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
46777        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
46888        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
46999        	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
55556        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
55557        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
55568        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
55578        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
55579        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
55589        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
56666        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
56888        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
56999        	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
57777        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
57888        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
57999        	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
66667        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
66668        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
66679        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
66689        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
67777        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
67999        	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
68888        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
68999        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
77778        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
77779        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
78888        	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
79999        	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
88889        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
89999        	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
总数：114

6枚听牌形
总数：0

7枚听牌形
1111223      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：23       
1111233      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：23       
1111234      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1111235      	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
1111236      	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：0        
1111237      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1111238      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1111239      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1111244      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111255      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111266      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111277      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111288      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111299      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1111344      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1111355      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1111366      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1111377      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1111388      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1111399      	待牌：2        	单骑待牌：0        	双碰待牌：0        	两面待牌：2        
1112233      	待牌：1234     	单骑待牌：1        	双碰待牌：23       	两面待牌：14       
1112234      	待牌：235      	单骑待牌：2        	双碰待牌：0        	两面待牌：235      
1112235      	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
1112244      	待牌：24       	单骑待牌：0        	双碰待牌：24       	两面待牌：0        
1112245      	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
1112246      	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
1112255      	待牌：25       	单骑待牌：0        	双碰待牌：25       	两面待牌：0        
1112256      	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
1112257      	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
1112266      	待牌：26       	单骑待牌：0        	双碰待牌：26       	两面待牌：0        
1112267      	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
1112268      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1112277      	待牌：27       	单骑待牌：0        	双碰待牌：27       	两面待牌：0        
1112278      	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
1112279      	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
1112288      	待牌：28       	单骑待牌：0        	双碰待牌：28       	两面待牌：0        
1112289      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1112299      	待牌：29       	单骑待牌：0        	双碰待牌：29       	两面待牌：0        
1112334      	待牌：235      	单骑待牌：3        	双碰待牌：0        	两面待牌：235      
1112335      	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
1112344      	待牌：14       	单骑待牌：4        	双碰待牌：14       	两面待牌：14       
1112345      	待牌：2356     	单骑待牌：25       	双碰待牌：0        	两面待牌：36       
1112346      	待牌：56       	单骑待牌：6        	双碰待牌：0        	两面待牌：5        
1112347      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1112348      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1112349      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1112355      	待牌：145      	单骑待牌：0        	双碰待牌：15       	两面待牌：14       
1112356      	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
1112357      	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
1112366      	待牌：146      	单骑待牌：0        	双碰待牌：16       	两面待牌：14       
1112367      	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
1112368      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1112377      	待牌：147      	单骑待牌：0        	双碰待牌：17       	两面待牌：14       
1112378      	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
1112379      	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
1112388      	待牌：148      	单骑待牌：0        	双碰待牌：18       	两面待牌：14       
1112389      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1112399      	待牌：149      	单骑待牌：0        	双碰待牌：19       	两面待牌：14       
1112455      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1112456      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112466      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1112477      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1112488      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1112499      	待牌：3        	单骑待牌：0        	双碰待牌：0        	两面待牌：3        
1112567      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112678      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1112789      	待牌：23       	单骑待牌：2        	双碰待牌：0        	两面待牌：3        
1113344      	待牌：34       	单骑待牌：0        	双碰待牌：34       	两面待牌：0        
1113345      	待牌：236      	单骑待牌：3        	双碰待牌：0        	两面待牌：236      
1113346      	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
1113355      	待牌：35       	单骑待牌：0        	双碰待牌：35       	两面待牌：0        
1113356      	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
1113357      	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
1113366      	待牌：36       	单骑待牌：0        	双碰待牌：36       	两面待牌：0        
1113367      	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
1113368      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1113377      	待牌：37       	单骑待牌：0        	双碰待牌：37       	两面待牌：0        
1113378      	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
1113379      	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
1113388      	待牌：38       	单骑待牌：0        	双碰待牌：38       	两面待牌：0        
1113389      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1113399      	待牌：39       	单骑待牌：0        	双碰待牌：39       	两面待牌：0        
1113445      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：4        
1113455      	待牌：25       	单骑待牌：5        	双碰待牌：0        	两面待牌：25       
1113456      	待牌：236      	单骑待牌：36       	双碰待牌：0        	两面待牌：2        
1113457      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：0        
1113458      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1113459      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1113466      	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
1113477      	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
1113488      	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
1113499      	待牌：25       	单骑待牌：0        	双碰待牌：0        	两面待牌：25       
1113566      	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
1113567      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1113577      	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
1113588      	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
1113599      	待牌：4        	单骑待牌：0        	双碰待牌：0        	两面待牌：4        
1113678      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1113789      	待牌：23       	单骑待牌：3        	双碰待牌：0        	两面待牌：2        
1114455      	待牌：45       	单骑待牌：0        	双碰待牌：45       	两面待牌：0        
1114456      	待牌：47       	单骑待牌：4        	双碰待牌：0        	两面待牌：47       
1114457      	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
1114466      	待牌：46       	单骑待牌：0        	双碰待牌：46       	两面待牌：0        
1114467      	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
1114468      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1114477      	待牌：47       	单骑待牌：0        	双碰待牌：47       	两面待牌：0        
1114478      	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
1114479      	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
1114488      	待牌：48       	单骑待牌：0        	双碰待牌：48       	两面待牌：0        
1114489      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1114499      	待牌：49       	单骑待牌：0        	双碰待牌：49       	两面待牌：0        
1114556      	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：5        
1114566      	待牌：36       	单骑待牌：6        	双碰待牌：0        	两面待牌：36       
1114567      	待牌：47       	单骑待牌：47       	双碰待牌：0        	两面待牌：0        
1114568      	待牌：8        	单骑待牌：8        	双碰待牌：0        	两面待牌：0        
1114569      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1114577      	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
1114588      	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
1114599      	待牌：36       	单骑待牌：0        	双碰待牌：0        	两面待牌：36       
1114677      	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
1114678      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1114688      	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
1114699      	待牌：5        	单骑待牌：0        	双碰待牌：0        	两面待牌：5        
1114789      	待牌：4        	单骑待牌：4        	双碰待牌：0        	两面待牌：0        
1115566      	待牌：56       	单骑待牌：0        	双碰待牌：56       	两面待牌：0        
1115567      	待牌：58       	单骑待牌：5        	双碰待牌：0        	两面待牌：58       
1115568      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1115577      	待牌：57       	单骑待牌：0        	双碰待牌：57       	两面待牌：0        
1115578      	待牌：69       	单骑待牌：0        	双碰待牌：0        	两面待牌：69       
1115579      	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
1115588      	待牌：58       	单骑待牌：0        	双碰待牌：58       	两面待牌：0        
1115589      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1115599      	待牌：59       	单骑待牌：0        	双碰待牌：59       	两面待牌：0        
1115667      	待牌：6        	单骑待牌：6        	双碰待牌：0        	两面待牌：6        
1115677      	待牌：47       	单骑待牌：7        	双碰待牌：0        	两面待牌：47       
1115678      	待牌：58       	单骑待牌：58       	双碰待牌：0        	两面待牌：0        
1115679      	待牌：9        	单骑待牌：9        	双碰待牌：0        	两面待牌：0        
1115688      	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
1115699      	待牌：47       	单骑待牌：0        	双碰待牌：0        	两面待牌：47       
1115788      	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
1115789      	待牌：5        	单骑待牌：5        	双碰待牌：0        	两面待牌：0        
1115799      	待牌：6        	单骑待牌：0        	双碰待牌：0        	两面待牌：6        
1116677      	待牌：67       	单骑待牌：0        	双碰待牌：67       	两面待牌：0        
1116678      	待牌：69       	单骑待牌：6        	双碰待牌：0        	两面待牌：69       
1116679      	待牌：8        	单骑待牌：0        	双碰待牌：0        	两面待牌：8        
1116688      	待牌：68       	单骑待牌：0        	双碰待牌：68       	两面待牌：0        
1116689      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1116699      	待牌：69       	单骑待牌：0        	双碰待牌：69       	两面待牌：0        
1116778      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：7        
1116788      	待牌：58       	单骑待牌：8        	双碰待牌：0        	两面待牌：58       
1116789      	待牌：69       	单骑待牌：69       	双碰待牌：0        	两面待牌：0        
1116799      	待牌：58       	单骑待牌：0        	双碰待牌：0        	两面待牌：58       
1116899      	待牌：7        	单骑待牌：0        	双碰待牌：0        	两面待牌：7        
1117788      	待牌：78       	单骑待牌：0        	双碰待牌：78       	两面待牌：0        
1117789      	待牌：7        	单骑待牌：7        	双碰待牌：0        	两面待牌：7        
